user_key,created_at,created_str,retweet_count,favorite_count,text
ten_gop,1.47E+12,7/3/16 0:20,,,Fox News Poll: 53% for  temporarily banning non-U.S. Muslims! https://t.co/CcIFEU5jqk
ten_gop,1.47E+12,7/5/16 18:09,281,174,"See the difference! 
#Clinton meets with terrorists! 
Trump meets with veterans! 
#NeverHillary
#Trump2016 https://t.co/Yyla3UyhZl"
ten_gop,1.47E+12,7/5/16 18:39,,,See the difference! 
ten_gop,1.47E+12,7/5/16 18:49,,,Bad news for Democrats! This guy will vote for #Trump2016  #AlwaysTrump
ten_gop,1.47E+12,7/5/16 21:25,293,196,"For the Clinton crime family, selling out US national security is a family business! https://t.co/vSIHYCCvb3"
ten_gop,1.47E+12,7/5/16 22:52,,,I believe that the power of the people is stronger than the people in power!
ten_gop,1.47E+12,7/6/16 2:03,,,I just want to remind liberals that 
ten_gop,1.47E+12,7/6/16 18:55,,,Where is America's outrage over thousands blacks owned as slaves by Muslims?
ten_gop,1.47E+12,7/6/16 23:32,,,Trump said he has invited boxing promoter Don King to speak at the convention!
ten_gop,1.47E+12,7/7/16 18:08,175,220,"Meet democrats who decided to use common sense and vote for Trump. Welcome  aboard! 
#TrumpTrain https://t.co/voOCIf8T8H"
ten_gop,1.47E+12,7/9/16 0:11,1528,1486,Lying Mainstream Media will never show you this photo! https://t.co/LeCceFaIY0
ten_gop,1.47E+12,7/9/16 2:19,163,219,Spotted in South Carolina! #LatinosForTrump #Maga https://t.co/azAVlB2Mlo
ten_gop,1.47E+12,7/9/16 19:41,534,480,Sheriff David Clarke: äóÖI can't wait till January when president Obama leaves the White House for the last time!' https://t.co/VvS9VPmeiE
ten_gop,1.47E+12,7/9/16 22:47,467,238,"WATCH &amp; RT the ugly truth about #BlackLivesMatter activism! 
#BLM #DallasPoliceShootings 
#WhitePrivilegeMeans https://t.co/x1xW2xwdrN"
ten_gop,1.47E+12,7/11/16 0:21,118,138,Look! We have _ôî«#Trump party_ôî« here! #DerayHasBeenReleasedParty https://t.co/DckpFp6h55
ten_gop,1.47E+12,7/11/16 2:51,,,#ImHereFor exposing Hillary lies to all of usäó_¥Ÿè Here is one of hers_ôïˆ https://t.co/rWZoxifVZZ
ten_gop,1.47E+12,7/11/16 4:10,488,409,"Sheriff Clarke: 'Obama Is Like a Pyromaniac Who Sets a Fire äóñ Then Watches It Burn'
#Memphis https://t.co/UAswxStB4a"
ten_gop,1.47E+12,7/11/16 5:07,,,#ConservativeBecause I know that America was great!! And want to #MakeAmericaGreatAgain! https://t.co/sPoUlN8JHg
ten_gop,1.47E+12,7/11/16 5:19,,,#ConservativeBecause 8 years of Obama's liberalism was a complete disaster!
ten_gop,1.47E+12,7/11/16 16:27,275,236,'Our children deserve a better future than what we're making them live through today.' ~ Donald Trump https://t.co/vPEWtrPTtq
ten_gop,1.47E+12,7/12/16 1:12,479,469,"'I hope Donald Trump will be the next US President. Good for America, good for Europe.' ~ Geert Wilders https://t.co/AarCpWDeCX"
ten_gop,1.47E+12,7/12/16 15:32,193,157,"'Hillary Clinton may be the most corrupt person ever to seek the presidency'~ Donald Trump
#NeverHillary
#Trump2016 https://t.co/idzI7KYgol"
ten_gop,1.47E+12,7/12/16 16:36,177,110,Reminder: Hillary &amp; Obama want to see them in America! https://t.co/7PwU0Vw0jb
ten_gop,1.47E+12,7/12/16 17:37,209,209,'If I was American I would vote for anyone but Hillary Clinton..' ~ Marine Le Pen https://t.co/P6Icza6S2W
ten_gop,1.47E+12,7/12/16 21:08,165,148,"Trump will be the greatest job creator!! 
#Trump2016 
#NeverHillary https://t.co/mAwfGYzDmu"
ten_gop,1.47E+12,7/13/16 2:54,216,207,Remember Hillary Clinton calling blacks 'super predators'?! She cares only about black votes! https://t.co/kNH7XqEJMW
ten_gop,1.47E+12,7/13/16 18:16,348,331,"Boom! Trump is leading with Hispanic voters!
Trump 49% 
Hillary 36% 
#LatinosForTrump 
#Trump2016 https://t.co/sUCdx3atXr"
ten_gop,1.47E+12,7/13/16 20:04,46,19,"#BLM terrorist drop concrete block on Officer's head
Meanwhile @POTUS meets with leader of this hate group! 
#Deray https://t.co/o6yY53j7MS"
ten_gop,1.47E+12,7/13/16 23:43,,,Meet typical #WeAreTheLeft girl who thinks that killing cops is something to laugh about!_ôïˆ https://t.co/0r5GumruhW
ten_gop,1.47E+12,7/14/16 1:11,125,79,WOW! @Deray and @POTUS plotting against America for nearly 4.5 hours! So how many plans for riots?! https://t.co/CkHuoqpLBu
ten_gop,1.47E+12,7/14/16 2:39,985,1240,"BOOM! NFL player Terrell Owens ENDORSES #Trump2016: 'We need a common sense President!'
#TrumpTrain https://t.co/ULNV8nuHc9"
ten_gop,1.47E+12,7/14/16 17:54,29,14,"Trump campaign denies reports Mike Pence picked as VP!
https://t.co/Wju786kEFL https://t.co/BrD5WQ2cAP"
ten_gop,1.47E+12,7/14/16 18:46,38,37,GREAT VIDEO_ôïˆ about the _ôï_@realDonaldTrump story! https://t.co/T7Y4f8Vmlh
ten_gop,1.47E+12,7/14/16 19:11,147,65,"Scary to see the alliance between jihadists and racist violent movement of #BlackLivesMatter! 
#ThursdayThoughts https://t.co/IgzSJEq8k6"
ten_gop,1.47E+12,7/14/16 21:06,322,294,'President Obama is the greatest hoax ever perpetrated on the American people' ~ Clint Eastwood https://t.co/hYsu7gVnJJ
ten_gop,1.47E+12,7/14/16 21:41,,,Terrible scene from #Nice on #BastilleDay - 12 killed in car attack by gunmen!
ten_gop,1.47E+12,7/14/16 22:50,111,64,"#ReligionOfPeace leaves more than 60 dead bodies in #Nice!
But Obama insists Muslims are 'peaceful'..
#Nice06 https://t.co/fn6Pip4bis"
ten_gop,1.47E+12,7/14/16 22:57,65,50,"Reminder for folks who #PrayForNice: typically when at war, a country doesn't invite the Enemy to live with them! https://t.co/rEOE5YD9Hn"
ten_gop,1.47E+12,7/14/16 23:59,,,Photo of this girl killed by terrorists goes viral!
ten_gop,1.47E+12,7/15/16 2:00,166,152,".@BradThor: ""This has never been about gun control. This has been about fundamentalist Islamist terrorist control."" https://t.co/N3eyjnV3FL"
ten_gop,1.47E+12,7/15/16 2:20,,,'Masses of young men with beards singing Allahu Akbar across Europe. It's an invasion..' ~ Geert Wilders https://t.co/QFVJpNHväó_
ten_gop,1.47E+12,7/15/16 3:16,87,42,"Horrible VIDEO! But I post it to show you the ugly truth about Muslims! 
ISLAM IS NOT PEACEFUL!
#PrayForNice #Nice https://t.co/Nw3h5RdLrY"
ten_gop,1.47E+12,7/15/16 3:50,,,42% of Muslim youth in France ALWAYS support suicide bombing!
ten_gop,1.47E+12,7/15/16 17:49,271,206,"Muslims kill people every day but politicians say us to be tolerant! 
Really sick! https://t.co/W9aBiFQxqD"
ten_gop,1.47E+12,7/15/16 21:17,533,283,"Muslims have donated over $250mil to Hillary's campaign! 
Of course, she won't blame radical Islam! https://t.co/SyJJRdZndq"
ten_gop,1.47E+12,7/16/16 1:35,128,83,"Let's be clear: Hillary takes money from terrorists who attack Western Civilization!
#Nice https://t.co/w27ReCLCCd"
ten_gop,1.47E+12,7/16/16 23:45,88,48,"This guy has PhD in Islamic studies he's following true Islam!
That's what he thinks about the 'religion of peace'! https://t.co/BCenoQuqD3"
ten_gop,1.47E+12,7/17/16 18:53,112,95,".@POTUS on #BatonRouge: 'We may not yet know the motives of this attack'
Think harder dumbass! https://t.co/9ikWRQDe8Q"
ten_gop,1.47E+12,7/17/16 19:21,25,6,"WATCH: Here is a typical #BlackLivesMatter protester:  'I hope I kill all white babes!'
#BatonRouge https://t.co/X1HRCknqVi"
ten_gop,1.47E+12,7/17/16 20:25,,,This is Montrell Jackson a cop killed in #BatonRouge this morning. His 4yo son is now without a dad!
ten_gop,1.47E+12,7/17/16 21:30,65,46,"Just 2 days after #NiceAttack stupid liberals welcome #rapefugees! How stupid!
#RNCinCLE https://t.co/2u88B0XZdM"
ten_gop,1.47E+12,7/17/16 21:59,151,90,"#BlackLIvesMatter march with FOREIGN flags in #Clevland.. They hate everything American!
 #RNCinCLE 
#BatonRouge https://t.co/OzJwfC3RRq"
ten_gop,1.47E+12,7/17/16 23:39,88,109,"WATCH: crowd applauding the police at #RNCinCLE! Real Patriots! _ôïè_ôïè
#BatonRouge https://t.co/C6KGXR4mfZ"
ten_gop,1.47E+12,7/18/16 2:51,74,79,"#Bikers4Trump will keep #BlackLivesMatter terrorists far away from the #RNCinCLE! 
#BatonRouge 
#Trump2016 https://t.co/nKakmogjC5"
ten_gop,1.47E+12,7/18/16 18:22,71,38,Anti-trump protesters cross a road block to incite violence at #RNCinCLE! Where are #Bikers4Trump?! https://t.co/ILN4HtDkwk
ten_gop,1.47E+12,7/18/16 18:23,1,0,"The #OmniHotel in #Dallas displayed äóìENOUGHäóù in blue lights after the police shooting in #BatonRouge. 
#RNCinCLE https://t.co/2IsyFAmmTi"
ten_gop,1.47E+12,7/18/16 18:38,1,1,"Lying Media will never show you this photo! So spread it online!
#RNCinCLE https://t.co/ZMOXWi0HNf"
ten_gop,1.47E+12,7/18/16 18:56,0,0,RT @tpartynews: It's #NotTooLateTo jump on #TrumpTrain! Join us at #RNCinCLE https://t.co/RzGfBkb6BY
ten_gop,1.47E+12,7/18/16 18:58,0,0,"RT @tpartynews: Those who find racism in everything are racists themselves.
#BatonRouge #FreddieGray #RNCinCLE https://t.co/5SNZFJ4r2X"
ten_gop,1.47E+12,7/18/16 19:49,1,4,"Another amazing pic! 
#Lationos4Trump
#RNCinCLE https://t.co/zajP2Xi7mp"
ten_gop,1.47E+12,7/18/16 20:27,84,74,"You do realize if democrats stop shooting people, gun violence would drop by 90%
#BatonRouge #FreddieGray
#RNCinCLE https://t.co/VBH0F32NSN"
ten_gop,1.47E+12,7/18/16 22:35,,,"UPDATE_ô_Â: #Germany axe attacker was an ""unaccompanied refugee""! "
ten_gop,1.47E+12,7/18/16 22:38,103,49,"Meanwhile more terrorists and #rapefugees are on the way!
Thanks to the lefties!
#axeattack #Germany #Nice https://t.co/7s0aF3UGGu"
ten_gop,1.47E+12,7/18/16 22:55,126,102,"BREAKING_ô_Â Obama wants to ban all axes after the terror attack in #Germany! 
#AxeAttack https://t.co/92FgKAOh0A"
ten_gop,1.47E+12,7/18/16 23:01,263,109,"UPDATE_ô_Â Meet this 'peaceful' Muslim who attacked 20+ people in #Germany! #Wí_rzburg
#ReligionOfPeace https://t.co/36MgJHCBLD"
ten_gop,1.47E+12,7/18/16 23:11,127,115,"BOOM! Trump leads with military!
Trump - 49%
Hillary - 20%
#RNCinCLE #GOPConvention #MakeAmericaSafeAgain https://t.co/jCud5SEzxp"
ten_gop,1.47E+12,7/18/16 23:23,225,142,"MASS SHOOTINGS:
Reagan = 11
Bush Sr. = 12
Clinton = 23
Bush Jr. = 16
Obama = 164_ôïˆ
#ResignObama
#RNCinCLE https://t.co/Et5DDoLVqT"
ten_gop,1.47E+12,7/18/16 23:52,196,175,"It is not racist to control borders!
Thank you American blacks who stand with #Trump2016! 
#RNCinCLE
#TrumpPence16 https://t.co/NN7X8BvdJL"
ten_gop,1.47E+12,7/19/16 0:06,153,76,"That's how Islam looks like!_ôïˆ
Axe attacker in #Wí_rzburg left the train full of blood!
#Germany 
#Nice #axeattack https://t.co/PkxY2GrMnD"
ten_gop,1.47E+12,7/19/16 0:20,1,1,"The Louisiana flag added to Texas Governor's Mansion to support #BatonRouge police!
#RNCinCLE
#BlueLivesMatter https://t.co/gCnBQRqrif"
ten_gop,1.47E+12,7/19/16 0:26,46,53,"""The left in this country is a cancer"" - @Nero 
#RNCinCLE 
#TrumpPence16 
#Trump2016 
#GOPConvention https://t.co/fRWdZR8PhO"
ten_gop,1.47E+12,7/19/16 1:00,144,153,"Pat Smith on #Benghazi: äóìI blame Hillary Clinton personally for the death of my son.äóù 
#RNCinCLE 
#NeverHillary https://t.co/yyCmZWIS1x"
ten_gop,1.47E+12,7/19/16 1:18,91,80,"'The nation which forgets its defenders will itself be forgotten'~ Calvin Coolidge 
#RNCinCLE 
#Trump2016
#Benghazi https://t.co/09AqP95cWm"
ten_gop,1.47E+12,7/19/16 1:27,62,47,"That's what our @POTUS thinks about #Germany terror attack_ôïˆ
He totally supports Muslim terrorists!
#RNCinCLE https://t.co/PQlYa5pcsv"
ten_gop,1.47E+12,7/19/16 1:35,3,4,"Great speech from Sheriff David Clarke! We love him! He will #MakeAmericaSafeAgain! 
#RNCinCLE 
#BatonRouge https://t.co/ff3bP6gYaw"
ten_gop,1.47E+12,7/19/16 1:43,0,0,"RT @tpartynews: Sheriff David Clarke: ""#BlueLivesMatter in America""
We love this guy!_ôïè_ôïè_ôïè
#RNCinCLE
#BatonRouge https://t.co/VnK1053IJj"
ten_gop,1.47E+12,7/19/16 1:51,149,171,"WATCH: POWERFUL speech from Sheriff David Clarke: ""Blue lives matter in America""_ôïç
#RNCinCLE #BatonRouge https://t.co/DgVri9j5yX"
ten_gop,1.47E+12,7/19/16 1:53,,,"WATCH: POWERFUL speech from Sheriff David Clarke: ""Blue lives matter in America""_ôïç"
